Day,Play_Number,Time_Post_Snap_s,Receiver,Openness_yds,Defender_ID,Y_yds,X_yds
DAY 3 (03-22-2026),2,2.06,R1,1.58,90001,17.13,13.73
DAY 3 (03-22-2026),2,2.06,R2,2.63,101,13.41,58.77
DAY 3 (03-22-2026),2,2.06,R3,0.54,90010,22.97,54.29
DAY 3 (03-22-2026),2,2.06,R4,1.79,87,27.12,60.36
DAY 3 (03-22-2026),2,2.07,R1,1.63,90001,17.21,14.54
DAY 3 (03-22-2026),2,2.07,R2,2.58,101,13.31,59.15
DAY 3 (03-22-2026),2,2.07,R3,0.54,90010,23.04,54.51
DAY 3 (03-22-2026),2,2.07,R4,1.78,87,27.11,60.66
DAY 3 (03-22-2026),2,2.09,R1,1.74,90001,17.23,14.86
DAY 3 (03-22-2026),2,2.09,R2,2.58,101,13.29,59.25
DAY 3 (03-22-2026),2,2.09,R3,0.55,90010,23.07,54.59
DAY 3 (03-22-2026),2,2.09,R4,1.78,87,27.1,60.76
DAY 3 (03-22-2026),2,2.11,R1,1.63,90001,17.11,13.59
DAY 3 (03-22-2026),2,2.11,R2,2.53,101,13.2,59.55
DAY 3 (03-22-2026),2,2.11,R3,0.55,90010,22.94,54.82
DAY 3 (03-22-2026),2,2.11,R4,1.77,87,27.02,60.82
DAY 3 (03-22-2026),2,2.13,R1,1.74,90001,17.06,13.13
DAY 3 (03-22-2026),2,2.13,R2,2.53,101,13.16,59.63
DAY 3 (03-22-2026),2,2.13,R3,0.56,90010,22.9,54.87
DAY 3 (03-22-2026),2,2.13,R4,1.77,87,27.0,60.82
DAY 3 (03-22-2026),2,2.14,R1,1.74,90001,17.13,13.47
DAY 3 (03-22-2026),2,2.14,R2,2.51,101,13.02,59.68
DAY 3 (03-22-2026),2,2.14,R3,0.56,90010,22.69,55.02
DAY 3 (03-22-2026),2,2.14,R4,1.72,87,26.9,61.02
